"","index","name","prev_season_total","projected_points","position","team","prev_season_index","position_index","replacement_points","value_over_replacement","value_over_next","draft_round"
"1",1,"Davante Adams",358.4,359.45,"WR","GB",1,1,48,311,11,1
"2",2,"Tyreek Hill",328.9,348.29,"WR","KC",2,2,48,300,5,1
"3",3,"Stefon Diggs",328.6,343.02,"WR","BUF",3,3,48,295,13,1
"4",4,"Calvin Ridley",281.5,329.57,"WR","ATL",5,4,48,281,19,1
"5",5,"Justin Jefferson",274.2,309.59,"WR","MIN",6,5,48,261,19,1
"6",6,"Diontae Johnson",221.8,290.29,"WR","PIT",21,6,48,242,0,1
"7",7,"A.J. Brown",247.5,290.06,"WR","TEN",12,7,48,242,0,1
"8",8,"DeAndre Hopkins",287.8,289.17,"WR","ARI",4,8,48,241,15,1
"9",9,"Travis Kelce",312.76,325.59,"TE","KC",1,1,85,240,12,1
"10",10,"Darren Waller",278.6,313.56,"TE","LV",2,2,85,228,95,1
"11",11,"Brandin Cooks",232,273.71,"WR","HOU",17,9,48,225,10,1
"12",12,"Julio Jones",146.1,263.55,"WR","TEN",50,10,48,215,2,1
"13",13,"Marvin Jones",227.8,261.28,"WR","JAX",18,11,48,213,4,2
"14",14,"Alvin Kamara",377.8,351.32,"RB","NO",1,1,142,209,29,2
"15",15,"Allen Robinson",262.9,256.44,"WR","CHI",9,12,48,208,2,2
"16",16,"Amari Cooper",236.8,254.22,"WR","DAL",15,13,48,206,1,2
"17",17,"Curtis Samuel",212.1,253.03,"WR","WAS",24,14,48,205,2,2
"18",18,"CeeDee Lamb",217.7,250.98,"WR","DAL",22,15,48,202,3,2
"19",19,"Tee Higgins",194.6,247.34,"WR","CIN",28,16,48,199,2,2
"20",20,"DK Metcalf",271.3,244.78,"WR","SEA",7,17,48,196,1,2
"21",21,"Deebo Samuel",80.7,243.41,"WR","SF",63,18,48,195,0,2
"22",22,"JuJu Smith-Schuster",234.1,242.86,"WR","PIT",16,19,48,194,0,2
"23",23,"Cooper Kupp",208.7,241.95,"WR","LA",26,20,48,193,0,2
"24",24,"Jarvis Landry",187.96,241.55,"WR","CLE",33,21,48,193,4,2
"25",25,"Russell Gage",181.06,237.14,"WR","ATL",37,22,48,189,0,3
"26",26,"Tyler Lockett",265.4,236.58,"WR","SEA",8,23,48,188,1,3
"27",27,"Sterling Shepard",162.5,235.37,"WR","NYG",43,24,48,187,2,3
"28",28,"Adam Thielen",254,232.45,"WR","MIN",10,25,48,184,1,3
"29",29,"Kenny Golladay",65.8,231.14,"WR","NYG",64,26,48,183,1,3
"30",30,"Will Fuller",188.9,229.89,"WR","MIA",32,27,48,181,4,3
"31",31,"Dalvin Cook",337.8,322.08,"RB","MIN",2,2,142,180,0,3
"32",32,"Austin Ekeler",165.3,321.76,"RB","LAC",26,3,142,179,9,3
"33",33,"D.J. Moore",211.5,225.24,"WR","CAR",25,28,48,177,0,3
"34",34,"Antonio Brown",117.1,224.27,"WR","TB",54,29,48,176,2,3
"35",35,"Michael Thomas",83.9,222.23,"WR","NO",62,30,48,174,1,3
"36",36,"Chris Godwin",191,220.81,"WR","TB",31,31,48,172,1,3
"37",37,"Robert Woods",245.1,219.02,"WR","LA",14,32,48,171,0,4
"38",38,"Christian McCaffrey",90.4,312.63,"RB","CAR",43,4,142,170,3,4
"39",39,"Marquise Brown",183,218.5,"WR","BAL",36,33,48,170,0,4
"40",40,"Keenan Allen",245.1,218.28,"WR","LAC",13,34,48,170,1,4
"41",41,"Mike Evans",248.6,216.64,"WR","TB",11,35,48,168,0,4
"42",42,"Aaron Jones",258.9,309.16,"RB","GB",5,5,142,167,11,4
"43",43,"Michael Gallup",173.3,215.78,"WR","DAL",38,36,48,167,1,4
"44",44,"Odell Beckham Jr.",86.82,214.02,"WR","CLE",60,37,48,166,2,4
"45",45,"Jamison Crowder",172.02,211.16,"WR","NYJ",39,38,48,163,1,4
"46",46,"Brandon Aiyuk",184.5,210.15,"WR","SF",35,39,48,162,2,4
"47",47,"Terry McLaurin",223.8,207.73,"WR","WAS",20,40,48,159,0,4
"48",48,"Jakobi Meyers",142.52,206.76,"WR","NE",51,41,48,158,2,4
"49",49,"Robby Anderson",224.1,204.25,"WR","CAR",19,42,48,156,0,5
"50",50,"Emmanuel Sanders",164.8,204.02,"WR","BUF",41,43,48,156,1,5
"51",51,"D'Andre Swift",189.8,297.51,"RB","DET",18,6,142,155,16,5
"52",52,"Courtland Sutton",9.6,202.91,"WR","DEN",69,44,48,154,1,5
"53",53,"Chase Claypool",214.9,201.35,"WR","PIT",23,45,48,153,0,5
"54",54,"Nelson Agholor",185.6,200.53,"WR","NE",34,46,48,152,1,5
"55",55,"Cole Beasley",207.5,199.27,"WR","BUF",27,47,48,151,0,5
"56",56,"T.Y. Hilton",164.2,198.29,"WR","IND",42,48,48,150,2,5
"57",57,"DeVante Parker",166.3,196.12,"WR","MIA",40,49,48,148,2,5
"58",58,"Darnell Mooney",152.1,193.97,"WR","CHI",48,50,48,145,3,5
"59",59,"DeSean Jackson",44.8,190.44,"WR","LA",65,51,48,142,9,5
"60",60,"Saquon Barkley",15.4,281.31,"RB","NYG",51,7,142,139,18,5
"61",61,"George Kittle",125.1,217.95,"TE","SF",16,3,85,132,21,6
"62",62,"Jerry Jeudy",157.6,180.68,"WR","DEN",44,52,48,132,2,6
"63",63,"Ja'Marr Chase",0,177.73,"WR","CIN",71,53,48,129,0,6
"64",64,"Tyler Boyd",192.64,177.72,"WR","CIN",29,54,48,129,1,6
"65",65,"D.J. Chark",153.6,175.79,"WR","JAX",47,55,48,127,0,6
"66",66,"Josh Allen",396.06,382.21,"QB","BUF",1,1,256,126,3,6
"67",67,"Corey Davis",191.4,174.97,"WR","NYJ",30,56,48,126,3,6
"68",68,"Mecole Hardman",128.1,171.23,"WR","KC",53,57,48,123,1,6
"69",69,"Patrick Mahomes",374.4,378.3,"QB","KC",4,2,256,122,12,6
"70",70,"Chris Carson",187.8,263.18,"RB","SEA",19,8,142,121,0,6
"71",71,"Mike Williams",153.7,169.67,"WR","LAC",46,58,48,121,3,6
"72",72,"David Montgomery",264.8,262.69,"RB","CHI",4,9,142,120,0,6
"73",73,"Mike Davis",206.5,262.66,"RB","ATL",12,10,142,120,9,7
"74",74,"John Brown",96.8,166.24,"WR","LV",57,59,48,118,9,7
"75",75,"T.J. Hockenson",175.3,196.88,"TE","DET",5,4,85,111,10,7
"76",76,"Nick Chubb",207.7,252.74,"RB","CLE",11,11,142,110,2,7
"77",77,"Aaron Rodgers",383.26,365.52,"QB","GB",2,3,256,109,0,7
"78",78,"Kyler Murray",378.74,365.48,"QB","ARI",3,4,256,109,11,7
"79",79,"Myles Gaskin",164.2,250.74,"RB","MIA",28,12,142,108,0,7
"80",80,"Derrick Henry",333.1,250.53,"RB","TEN",3,13,142,108,0,7
"81",81,"Michael Pittman",98.9,156.88,"WR","IND",56,60,48,108,3,7
"82",82,"Joe Mixon",99.6,249.84,"RB","CIN",41,14,142,107,4,7
"83",83,"Christian Kirk",146.4,153.81,"WR","ARI",49,61,48,105,3,7
"84",84,"James Robinson",250.4,245.78,"RB","JAX",7,15,142,103,9,7
"85",85,"Mark Andrews",170.1,186.58,"TE","BAL",6,5,85,101,2,8
"86",86,"DeVonta Smith",0,149.9,"WR","PHI",70,62,48,101,3,8
"87",87,"Logan Thomas",176.62,184.58,"TE","WAS",3,6,85,99,4,8
"88",88,"Lamar Jackson",332.78,354.43,"QB","BAL",9,5,256,98,8,8
"89",89,"A.J. Green",111.3,146.03,"WR","ARI",55,63,48,98,1,8
"90",90,"Jaylen Waddle",0,144.67,"WR","MIA",73,64,48,96,15,8
"91",91,"Jared Cook",127.4,180.19,"TE","LAC",15,7,85,95,9,8
"92",92,"Ezekiel Elliott",223.7,236.03,"RB","DAL",9,16,142,94,3,8
"93",93,"Najee Harris",0,232.54,"RB","PIT",54,17,142,90,6,8
"94",94,"Dak Prescott",135.64,345.96,"QB","DAL",24,6,256,89,0,8
"95",95,"Tom Brady",337.92,345.42,"QB","TB",7,7,256,89,0,8
"96",96,"Russell Wilson",359.78,344.73,"QB","SEA",5,8,256,88,0,8
"97",97,"Justin Herbert",332.84,344.33,"QB","LAC",8,9,256,88,2,9
"98",98,"Ryan Tannehill",344.36,341.89,"QB","TEN",6,10,256,85,12,9
"99",99,"Noah Fant",149.3,170.81,"TE","DEN",8,8,85,85,0,9
"100",100,"Mike Gesicki",159.3,170.23,"TE","MIA",7,9,85,85,8,9
"101",101,"Chase Edmonds",168,226.24,"RB","ARI",25,18,142,84,2,9
"102",102,"Miles Sanders",170.4,223.33,"RB","PHI",23,19,142,81,3,9
"103",103,"Henry Ruggs III",84.1,129.26,"WR","LV",61,65,48,81,5,9
"104",104,"Melvin Gordon",198.4,219.54,"RB","DEN",14,20,142,77,0,9
"105",105,"Clyde Edwards-Helaire",176,219.02,"RB","KC",22,21,142,77,2,9
"106",106,"Robert Tonyan",176.6,162.06,"TE","GB",4,10,85,77,2,9
"107",107,"Jalen Reagor",87.2,124.19,"WR","PHI",59,66,48,76,12,9
"108",108,"Jonathan Taylor",252.8,216.34,"RB","IND",6,22,142,74,12,9
"109",109,"Austin Hooper",113.5,159.64,"TE","CLE",18,11,85,74,1,10
"110",110,"Jameis Winston",2.4,329.48,"QB","NO",30,11,256,73,6,10
"111",111,"Evan Engram",141,157.74,"TE","NYG",12,12,85,72,14,10
"112",112,"Kirk Cousins",306.2,323.3,"QB","MIN",10,12,256,67,0,10
"113",113,"Baker Mayfield",248.62,322.43,"QB","CLE",16,13,256,66,1,10
"114",114,"Ryan Fitzpatrick",153.74,320.59,"QB","WAS",23,14,256,64,2,10
"115",115,"Laviska Shenault Jr.",157.1,111.98,"WR","JAX",45,67,48,63,19,10
"116",116,"Derek Carr",272.12,318.23,"QB","LV",12,15,256,62,8,10
